caseid,sex,birthregion,mom_ed,friends1,sma,sra,gpa1,income3,jobscore3,jobsat3
1870,Male,outside US,College graduate or more,3,74,35,2.4,2500,34,4
1871,Male,outside US,College graduate or more,30,47,41,2.42,1600,46,5
1878,Female,outside US,College graduate or more,3,84,61,4,2392,34,2
1882,Female,outside US,Some college/university,3,73,70,3.25,1200,56,5
1893,Male,outside US,College graduate or more,35,41,57,2.92,1500,49,3
1896,Female,outside US,College graduate or more,8,46,45,2.6,1500,38,5
1897,Female,outside US,High school graduate,48,86,49,2.8,600,20,5
1898,Female,outside US,less.than.hs,5,50,70,3.5,1200,42,4
1902,Female,outside US,Some college/university,48,36,62,2.6,2000,55,2
1904,Female,outside US,less.than.hs,5,82,41,3.9,2000,41,3
1905,Female,outside US,College graduate or more,36,97,97,3.7,2350,42,5
1906,Female,outside US,High school graduate,3,48,79,3.7,1472,26,4
1915,Female,outside US,Some college/university,3,77,54,2.5,1000,62,4
1923,Female,outside US,High school graduate,7,65,75,3,2600,55,5
1924,Male,outside US,College graduate or more,6,32,20,3.3,1900,53,3
1932,Male,outside US,Some college/university,40,70,75,3.8,2000,46,4
1933,Female,outside US,College graduate or more,44,63,54,2.6,1800,53,5
1941,Male,outside US,less.than.hs,35,15,17,2.7,2500,39,1
1947,Male,outside US,College graduate or more,35,8,54,3.2,1100,23,3
1961,Male,outside US,College graduate or more,3,96,94,3.9,500,46,4
1968,Male,outside US,College graduate or more,22,60,70,2,1900,40,5
1970,Male,outside US,High school graduate,35,99,76,2.92,2600,42,4
1971,Male,outside US,High school graduate,4,26,0,1.79,1000,36,4
1972,Female,outside US,College graduate or more,44,25,32,0.83,600,53,4
1974,Male,outside US,Some college/university,22,99,50,2.67,700,23,3
1976,Female,outside US,Some college/university,22,79,79,3.33,2000,34,5
1981,Male,outside US,College graduate or more,40,69,80,3.33,500,46,1
1984,Female,outside US,less.than.hs,40,3,2,2.3,800,37,5
1986,Male,outside US,College graduate or more,48,58,86,3.14,400,39,3
1992,Male,outside US,High school graduate,5,69,44,2.58,1400,39,5
1993,Male,outside US,Some college/university,3,97,70,2.5,1200,30,4
1994,Female,outside US,High school graduate,13,74,29,3.33,1200,53,4
1995,Female,outside US,High school graduate,2,90,70,4,1600,42,4
1998,Male,outside US,High school graduate,3,64,21,1.5,2000,29,4
2003,Female,outside US,High school graduate,22,63,63,2.58,1600,50,2
2007,Female,outside US,less.than.hs,13,11,32,1.5,1650,34,3
2009,Male,outside US,Some college/university,35,99,64,3.34,550,69,4
2012,Female,outside US,less.than.hs,8,43,31,1.83,400,23,4
2013,Female,outside US,Some college/university,30,51,61,2.33,1600,67,4
2014,Male,outside US,Some college/university,30,73,60,3.08,2800,48,3
2020,Female,outside US,less.than.hs,44,77,46,3.17,2000,34,4
2026,Male,outside US,High school graduate,8,96,34,3.31,2000,72,4
2028,Male,outside US,less.than.hs,13,18,18,2,1600,20,5
2030,Female,outside US,High school graduate,22,66,37,2.5,1200,42,4
2033,Female,outside US,Some college/university,40,80,73,2.67,1200,34,5
2035,Male,outside US,less.than.hs,18,30,44,0.5,1200,23,2
2043,Male,outside US,High school graduate,3,26,20,2.5,1250,55,5
2047,Female,outside US,High school graduate,48,95,67,2.67,2100,44,4
2054,Male,outside US,Some college/university,35,99,79,4.17,600,72,5
2055,Female,outside US,Some college/university,6,83,79,3.17,1200,34,4
2056,Female,outside US,High school graduate,30,34,32,3.17,1200,53,4
2059,Female,outside US,less.than.hs,30,49,22,2.83,1200,49,5
2067,Male,outside US,Some college/university,1,87,84,3,2800,37,5
2068,Male,outside US,College graduate or more,35,96,89,3,650,56,3
2071,Female,outside US,less.than.hs,22,14,22,2,1500,44,4
2076,Female,outside US,College graduate or more,30,79,62,3.67,1500,40,4
2078,Female,outside US,High school graduate,3,40,50,1.58,1600,53,5
2087,Female,outside US,less.than.hs,13,46,34,2.83,1500,53,5
2094,Male,outside US,High school graduate,8,41,44,2.5,1200,29,2
2099,Female,outside US,College graduate or more,31,67,46,2.67,600,52,3
2100,Female,outside US,Some college/university,31,77,37,3.17,2300,57,5
2101,Male,outside US,High school graduate,13,31,4,0.58,1300,31,4
2104,Female,outside US,High school graduate,35,87,70,3.58,1880,52,4
2105,Female,outside US,High school graduate,22,97,55,2.67,2500,49,4
2107,Female,outside US,College graduate or more,8,44,44,2.67,1376,53,1
2108,Female,outside US,Some college/university,2,51,16,1.83,2400,57,4
2110,Female,outside US,less.than.hs,1,57,70,2.33,1600,49,4
2114,Female,outside US,less.than.hs,13,89,62,3,1860,39,4
2117,Male,outside US,Some college/university,3,54,46,2.33,1500,42,4
2119,Female,outside US,less.than.hs,3,73,44,2.92,1200,53,3
2124,Female,outside US,High school graduate,30,99,67,3.08,1800,55,5
2129,Female,outside US,High school graduate,44,92,54,2.83,1200,55,4
2130,Male,outside US,less.than.hs,1,57,32,0.75,500,42,5
2135,Male,outside US,College graduate or more,1,78,85,2.34,2000,62,5
2136,Male,outside US,High school graduate,40,18,22,2.25,1600,40,5
2137,Female,outside US,less.than.hs,22,71,81,3.67,1200,44,2
2139,Male,outside US,less.than.hs,40,83,18,2,2000,49,4
2145,Male,outside US,Some college/university,35,70,58,3.3,800,46,4
2148,Female,outside US,less.than.hs,11,16,54,1.83,1200,34,5
2149,Male,outside US,College graduate or more,7,50,84,3.36,700,42,4
2150,Female,outside US,less.than.hs,35,6,13,1.6,550,56,3
2151,Male,outside US,Some college/university,41,29,65,1.1,1100,18,3
2153,Female,outside US,less.than.hs,35,6,31,2.8,1500,31,3
2154,Female,outside US,High school graduate,3,8,3,2.3,1109,38,4
2157,Female,outside US,College graduate or more,3,78,46,2.9,800,26,4
2159,Male,outside US,Some college/university,31,29,79,2.7,2000,55,5
2160,Female,outside US,less.than.hs,22,74,91,3,1000,42,4
2162,Female,outside US,College graduate or more,35,65,87,3.6,1200,50,4
2166,Female,outside US,College graduate or more,48,97,97,3.8,400,23,3
2170,Female,outside US,less.than.hs,3,64,18,1.8,900,31,5
2171,Female,outside US,College graduate or more,9,94,87,4,1850,57,4
2172,Male,outside US,College graduate or more,3,77,52,3.58,800,49,1
2173,Male,outside US,Some college/university,10,99,70,3.7,450,24,3
2175,Female,outside US,College graduate or more,10,99,94,4,1900,53,4
2181,Male,outside US,High school graduate,22,27,61,1.7,1500,39,2
2183,Male,outside US,High school graduate,22,94,47,2.75,1900,53,4
2185,Male,outside US,Some college/university,14,74,74,2.58,900,22,3
2186,Female,outside US,Some college/university,30,74,37,2.18,1400,42,3
2195,Female,outside US,High school graduate,48,80,85,3.5,1100,57,5
2206,Female,outside US,High school graduate,44,40,54,2.67,2250,44,3
2210,Male,outside US,less.than.hs,1,51,29,2.75,920,32,4
2219,Female,outside US,Some college/university,36,46,53,1.83,1500,42,5
2220,Female,outside US,Some college/university,3,86,44,2.75,1900,42,4
2224,Female,outside US,College graduate or more,35,88,40,4.17,1400,78,4
2228,Male,outside US,Some college/university,48,87,60,2.67,2500,78,4
2230,Male,outside US,High school graduate,3,79,43,2.33,1600,37,5
2231,Male,outside US,College graduate or more,35,57,55,2.52,1600,53,4
2235,Male,outside US,High school graduate,3,21,84,1.33,2000,34,2
2241,Male,outside US,College graduate or more,22,99,74,4.25,240,42,4
2242,Male,outside US,Some college/university,8,9,28,1.3,1000,42,1
2249,Male,outside US,High school graduate,35,97,79,4,800,54,4
2251,Male,outside US,High school graduate,18,79,53,1.83,900,53,5
2252,Male,outside US,Some college/university,22,46,49,2.75,1200,30,3
2253,Male,outside US,College graduate or more,18,96,94,3.3,1230,40,3
2259,Female,outside US,College graduate or more,48,97,84,4.33,1000,42,5
2261,Female,outside US,less.than.hs,13,28,21,2.67,1400,53,5
2267,Female,outside US,College graduate or more,8,90,66,3.4,2040,57,5
2268,Male,outside US,less.than.hs,23,65,51,2.54,1000,26,4
2273,Male,outside US,College graduate or more,8,80,58,2.66,500,49,5
2279,Female,outside US,less.than.hs,35,77,60,2.5,2300,53,4
2281,Female,outside US,High school graduate,21,28,27,2.17,2000,55,5
2282,Female,outside US,less.than.hs,35,18,50,0.5,2000,34,3
2283,Male,outside US,Some college/university,11,92,61,2.2,1100,39,4
2286,Male,outside US,Some college/university,51,99,98,3.28,1100,56,4
2287,Male,outside US,High school graduate,6,34,6,2.5,1700,28,4
2288,Male,outside US,High school graduate,13,21,54,2.45,1200,39,5
2289,Female,outside US,High school graduate,3,13,8,1.75,1200,38,4
2291,Female,outside US,Some college/university,3,70,75,4,2500,60,4
2299,Female,outside US,Some college/university,5,34,37,3,780,51,2
2302,Female,outside US,less.than.hs,3,36,46,3,2000,37,3
2303,Male,outside US,High school graduate,22,71,55,3.75,1400,67,4
2305,Male,outside US,College graduate or more,3,71,70,2.83,2800,40,4
2307,Male,outside US,College graduate or more,22,89,93,2.58,2400,56,3
2310,Female,outside US,Some college/university,8,11,18,2.33,400,38,5
2313,Female,outside US,High school graduate,22,57,50,2.5,2500,53,5
2315,Male,outside US,College graduate or more,23,92,56,4.5,2000,50,4
2316,Male,outside US,College graduate or more,8,87,55,4.16,2000,57,5
2320,Female,outside US,High school graduate,13,74,37,2.42,2000,53,5
2327,Female,outside US,less.than.hs,44,28,32,2,1200,42,3
2331,Female,outside US,less.than.hs,3,5,15,3.1,2400,42,4
2332,Male,outside US,Some college/university,40,86,75,3,2400,46,5
2333,Male,outside US,Some college/university,3,74,41,1.75,2500,23,4
2336,Male,outside US,High school graduate,6,90,87,2.6,1000,16,4
2339,Male,outside US,less.than.hs,2,57,67,2,1500,44,4
2341,Male,outside US,High school graduate,48,79,76,3.5,800,42,3
2342,Female,outside US,High school graduate,22,51,21,1.75,600,39,4
2343,Male,outside US,less.than.hs,18,10,18,0.83,2200,34,5
2348,Male,outside US,High school graduate,8,98,90,3.52,2800,51,5
2351,Female,outside US,less.than.hs,35,62,22,1.5,2200,67,4
2352,Female,outside US,less.than.hs,22,27,17,1.4,2200,38,3
2353,Female,outside US,College graduate or more,30,80,47,1.58,1200,53,3
2361,Female,outside US,High school graduate,22,64,83,2.5,1800,34,4
2363,Male,outside US,High school graduate,3,71,32,2.92,2000,34,2
2364,Male,outside US,Some college/university,44,97,98,4,500,50,3
2368,Male,outside US,less.than.hs,22,79,43,3.33,1270,58,5
2369,Female,outside US,less.than.hs,2,32,40,2.92,1100,78,5
2370,Female,outside US,College graduate or more,6,57,20,2.17,1200,23,4
2379,Male,outside US,College graduate or more,35,83,80,4,400,16,4
2382,Male,outside US,less.than.hs,35,97,67,3.92,2500,56,4
2391,Male,outside US,College graduate or more,22,83,73,2.5,2080,53,2
2392,Female,outside US,Some college/university,3,84,84,3.08,550,34,4
2394,Male,outside US,High school graduate,13,65,41,2.1,700,16,3
2395,Female,outside US,High school graduate,22,14,18,2.1,1300,57,3
2399,Female,outside US,less.than.hs,30,65,65,2.8,2100,37,4
2400,Male,outside US,College graduate or more,14,62,14,2.43,2400,50,4
2401,Male,outside US,Some college/university,35,86,86,4.33,2200,72,4
2402,Female,outside US,less.than.hs,10,83,70,1.83,1000,38,2
2405,Male,outside US,High school graduate,37,51,12,2.2,2200,38,3
2406,Male,outside US,less.than.hs,8,57,32,1.58,1600,33,3
2409,Female,outside US,High school graduate,44,97,84,3.1,2300,49,4
2410,Female,outside US,High school graduate,13,33,13,1.58,2000,42,4
2411,Female,outside US,less.than.hs,30,94,62,3.08,1150,23,3
2416,Male,outside US,College graduate or more,40,68,40,2.25,1600,39,5
2432,Female,outside US,less.than.hs,13,51,76,3.17,1833,57,4
2433,Male,outside US,College graduate or more,23,44,54,2.07,1600,53,5
2461,Female,outside US,College graduate or more,35,98,99,4,2300,59,3
2462,Female,outside US,High school graduate,44,95,50,2.25,2000,57,5
2464,Male,outside US,College graduate or more,13,70,15,2.4,1200,20,4
2466,Male,outside US,College graduate or more,22,93,82,2.93,1100,66,5
2471,Male,outside US,Some college/university,18,86,57,3.58,2500,51,4
2483,Female,outside US,Some college/university,44,79,76,4.17,500,43,5
2486,Female,outside US,High school graduate,35,64,35,2.7,2000,57,4
2491,Male,outside US,College graduate or more,3,77,29,2.67,1500,42,3
2496,Female,outside US,Some college/university,23,69,32,3.17,1500,42,5
2500,Female,outside US,High school graduate,3,98,88,3.67,2500,53,4
2508,Male,outside US,less.than.hs,22,35,26,1.33,2000,28,4
2520,Male,outside US,High school graduate,8,46,77,2.67,2500,23,4
2523,Female,outside US,Some college/university,35,62,55,3.08,1200,34,4
2524,Male,outside US,High school graduate,8,54,57,1.92,1500,49,4
2529,Male,outside US,Some college/university,22,54,3,3.08,2000,49,5
2530,Female,outside US,Some college/university,10,63,67,3.33,2500,57,5
2538,Female,outside US,less.than.hs,30,77,57,2,2200,52,2
2545,Male,outside US,less.than.hs,1,13,37,0.42,2500,42,3
2549,Male,outside US,High school graduate,44,89,67,3.5,2000,52,1
2551,Female,outside US,less.than.hs,22,26,20,1.5,1300,52,5
2553,Male,outside US,High school graduate,48,73,16,1.08,2128,40,4
2555,Female,outside US,High school graduate,15,87,67,1.09,1400,34,5
2563,Male,outside US,Some college/university,30,96,65,3.67,1500,52,5
2564,Male,outside US,High school graduate,35,88,63,2.83,2000,67,1
2566,Male,outside US,High school graduate,40,97,88,4,2400,51,4
2568,Female,outside US,Some college/university,51,99,62,4.33,1490,43,3
2569,Female,outside US,less.than.hs,35,71,29,2,1400,55,5
2575,Female,outside US,Some college/university,30,95,62,3.67,500,42,4
2580,Female,outside US,High school graduate,51,56,94,3.7,2773,49,5
2581,Female,outside US,less.than.hs,14,36,28,3.1,2000,52,4
2582,Male,outside US,less.than.hs,1,69,61,2.5,2000,34,4
2584,Male,outside US,College graduate or more,44,94,55,2.21,580,39,1
2586,Female,outside US,Some college/university,23,94,51,2.5,2200,52,3
2587,Female,outside US,High school graduate,35,88,20,2.67,2200,52,5
2594,Female,outside US,High school graduate,18,31,84,2.83,1200,42,4
2595,Female,outside US,High school graduate,35,43,22,1.67,2500,53,5
2600,Female,outside US,Some college/university,30,82,80,4,2000,56,4
2609,Female,outside US,less.than.hs,44,99,87,4.33,2200,34,5
2613,Female,outside US,less.than.hs,3,41,49,3.29,1800,60,5
2618,Female,outside US,less.than.hs,13,34,14,1.75,2000,52,5
2622,Female,outside US,College graduate or more,18,86,79,2.83,2600,52,4
2623,Female,outside US,Some college/university,48,83,62,3.5,1200,42,3
2624,Female,outside US,College graduate or more,30,88,79,3,2000,67,5
2625,Female,outside US,Some college/university,22,99,71,2.83,800,23,4
2626,Female,outside US,less.than.hs,35,35,16,1.5,1200,53,3
2630,Female,outside US,College graduate or more,30,54,22,3.33,1000,31,5
2636,Male,outside US,College graduate or more,40,93,41,2.75,1700,53,5
2637,Female,outside US,College graduate or more,22,82,74,3.33,1500,53,5
2638,Female,outside US,less.than.hs,3,26,41,2.58,1200,48,4
2641,Female,outside US,less.than.hs,40,51,54,2,1600,42,1
2649,Female,outside US,Some college/university,3,73,62,1.83,1890,38,3
2650,Male,outside US,College graduate or more,35,89,56,2.5,1650,56,4
2664,Female,outside US,College graduate or more,40,69,57,3.17,2400,57,4
2665,Male,outside US,College graduate or more,40,74,37,1.33,2700,52,5
2666,Male,outside US,High school graduate,22,99,97,3.17,1100,46,3
2672,Female,outside US,High school graduate,40,87,54,3.33,2000,42,3
2675,Female,outside US,Some college/university,44,71,16,2,1500,42,5
2680,Male,outside US,less.than.hs,35,66,27,1.83,2000,39,3
2682,Male,outside US,College graduate or more,13,58,77,1.75,550,26,2
2685,Female,outside US,High school graduate,22,71,13,2.42,1000,34,4
2687,Female,outside US,Some college/university,40,94,80,3.86,2400,53,4
2692,Female,outside US,High school graduate,13,99,4,1.92,1500,38,5
2693,Male,outside US,Some college/university,51,86,32,2.83,1800,78,1
2703,Female,outside US,College graduate or more,5,28,40,1.67,1500,69,3
2705,Female,outside US,High school graduate,35,49,68,3,1600,60,5
2718,Female,outside US,less.than.hs,30,1,5,2.4,2320,38,4
2719,Female,outside US,less.than.hs,22,47,32,2.83,1400,34,5
2720,Female,outside US,less.than.hs,36,1,5,2.92,350,34,4
2723,Female,outside US,High school graduate,22,82,59,2.83,800,45,3
2724,Male,outside US,High school graduate,18,57,41,2.5,1800,53,4
2732,Female,outside US,less.than.hs,3,73,86,2.5,2200,57,5
2736,Male,outside US,High school graduate,22,95,82,3,2500,52,4
2738,Female,outside US,Some college/university,30,83,67,3.08,1100,53,3
2749,Male,outside US,Some college/university,44,47,57,1.17,1700,21,4
2753,Female,outside US,Some college/university,44,83,41,2.83,1300,30,4
2757,Female,outside US,High school graduate,3,73,67,3.14,2000,57,4
2760,Female,outside US,less.than.hs,44,40,22,1.92,525,39,5
2765,Female,outside US,Some college/university,22,92,57,3.33,2500,60,5
2768,Female,outside US,High school graduate,51,54,61,3.67,2500,58,5
2770,Female,outside US,College graduate or more,35,77,79,3,800,23,3
2798,Male,outside US,High school graduate,44,53,37,2.6,1360,42,2
2837,Male,outside US,College graduate or more,35,47,34,2.8,550,20,2
2870,Male,outside US,High school graduate,7,97,87,4,2200,53,4
2872,Male,outside US,less.than.hs,10,94,65,2.92,2000,46,4
2878,Male,outside US,College graduate or more,14,99,84,4,1500,68,4
2879,Female,outside US,less.than.hs,4,98,87,3.9,2700,55,4
2881,Male,outside US,College graduate or more,23,82,23,3.58,1800,37,4
2886,Female,outside US,Some college/university,22,61,73,1.67,940,23,5
2889,Female,outside US,College graduate or more,3,74,58,3.8,2500,57,4
2890,Female,outside US,College graduate or more,8,73,99,3.67,2700,34,4
2894,Female,outside US,College graduate or more,48,36,66,2.6,1500,42,1
2910,Female,outside US,College graduate or more,5,82,77,3.86,900,42,4
2914,Male,outside US,less.than.hs,35,99,0,3.29,1000,44,4
2922,Female,outside US,less.than.hs,35,65,34,2.5,2600,53,3
2923,Male,outside US,Some college/university,31,74,71,3.4,1400,34,4
2929,Female,outside US,less.than.hs,3,70,53,3.25,2300,42,4
2930,Female,outside US,College graduate or more,40,65,53,3.5,2444,42,3
2931,Female,outside US,High school graduate,8,95,70,2.67,1800,52,5
2933,Male,outside US,Some college/university,3,95,73,2,2500,78,5
2940,Male,outside US,College graduate or more,35,71,87,1,1200,59,1
2953,Male,outside US,less.than.hs,22,36,58,1.9,1500,36,1
2955,Male,outside US,Some college/university,18,41,8,3.3,2000,34,4
2956,Female,outside US,Some college/university,40,47,20,1.67,400,45,3
2961,Female,outside US,College graduate or more,1,44,43,3.08,2000,38,3
2963,Female,outside US,High school graduate,3,80,60,2,900,34,3
2995,Male,outside US,Some college/university,22,93,98,3.7,950,47,5
2996,Female,outside US,less.than.hs,22,84,91,4,2583,41,3
3006,Female,outside US,High school graduate,7,76,57,3.83,700,34,3
3020,Male,outside US,High school graduate,35,98,66,4,2000,51,4
3029,Female,outside US,High school graduate,51,91,76,3.83,800,37,3
3043,Female,outside US,College graduate or more,13,56,6,0.7,1200,32,3
3073,Male,outside US,High school graduate,8,0,0,2.64,1000,50,5
3078,Male,outside US,High school graduate,30,98,98,2.8,1200,56,4
3080,Male,outside US,High school graduate,8,36,36,2.71,1500,39,1
3090,Female,outside US,High school graduate,30,61,44,3.17,800,78,3
3099,Male,outside US,College graduate or more,35,66,97,2.43,1600,21,3
3103,Female,outside US,High school graduate,13,26,44,1.75,700,42,3
3106,Female,outside US,High school graduate,13,96,71,2.9,2500,37,5
3108,Male,outside US,High school graduate,3,61,13,3.3,600,26,4
3109,Female,outside US,College graduate or more,35,21,35,2.9,1800,34,4
3113,Male,outside US,High school graduate,3,90,94,3.5,2500,51,4
3119,Female,outside US,Some college/university,30,98,99,3.9,1500,34,5
3121,Male,outside US,High school graduate,3,59,57,2.2,1600,24,4
3122,Male,outside US,College graduate or more,41,56,31,2.8,400,39,4
3124,Female,outside US,High school graduate,35,9,6,2.9,1500,38,5
3131,Female,outside US,College graduate or more,30,6,61,3.6,1800,42,5
3132,Female,outside US,College graduate or more,3,99,94,3.58,450,56,3
3134,Male,outside US,Some college/university,8,32,41,2.9,1500,34,3
3136,Male,outside US,College graduate or more,3,13,17,3.3,2000,46,4
3138,Male,outside US,College graduate or more,18,61,61,2.4,1200,44,3
3139,Male,outside US,High school graduate,35,51,31,3.5,2000,44,4
3141,Female,outside US,High school graduate,3,57,79,3.45,1600,45,4
3144,Male,outside US,College graduate or more,44,93,66,3.86,2680,50,4
3153,Female,outside US,College graduate or more,15,97,54,3.8,1700,50,4
3155,Male,outside US,College graduate or more,3,99,87,3.67,2800,39,4
3165,Male,outside US,Some college/university,18,63,73,2.5,1500,51,4
3167,Female,outside US,High school graduate,22,47,29,2,900,42,4
3170,Male,outside US,High school graduate,8,99,94,4,1300,51,4
3171,Female,outside US,Some college/university,44,6,54,2.5,1000,53,3
3175,Female,outside US,Some college/university,8,57,70,2.7,1750,56,1
3176,Male,outside US,High school graduate,5,86,70,2.6,1230,44,2
3178,Male,outside US,Some college/university,35,64,63,2.86,1800,56,5
3181,Female,outside US,High school graduate,48,56,31,3.6,1000,42,4
3186,Male,outside US,Some college/university,18,9,32,1.17,2000,37,3
3190,Male,outside US,College graduate or more,22,99,88,4.17,2000,50,3
3191,Female,outside US,High school graduate,3,92,91,3.08,1400,53,4
3192,Female,outside US,less.than.hs,40,5,13,1,1500,50,5
3193,Male,outside US,Some college/university,4,28,84,3.3,1000,34,3
3194,Female,outside US,High school graduate,3,90,62,3.9,1600,22,3
3195,Female,outside US,College graduate or more,3,34,84,2.83,2000,42,4
3198,Male,outside US,High school graduate,10,50,34,2.2,500,34,3
3200,Female,outside US,High school graduate,48,59,41,2.6,1200,23,2
3214,Male,outside US,High school graduate,14,51,49,3.3,2000,51,4
3218,Male,outside US,College graduate or more,35,99,88,4.17,1200,51,4
3221,Female,outside US,High school graduate,35,99,91,3.58,300,42,5
3222,Male,outside US,High school graduate,22,99,81,3.8,1300,42,4
3229,Female,outside US,High school graduate,30,76,70,3.08,2352,49,1
3239,Male,outside US,Some college/university,4,94,84,3.7,1500,39,4
3243,Male,outside US,Some college/university,22,0,0,3.07,200,64,3
3244,Female,outside US,College graduate or more,48,82,99,3.9,2400,42,2
3251,Male,outside US,High school graduate,16,70,75,2,2300,39,2
3253,Female,outside US,Some college/university,48,84,87,3.8,850,16,3
3257,Male,outside US,High school graduate,3,48,13,1.82,1800,56,4
3261,Female,outside US,College graduate or more,2,12,14,1.43,900,69,5
3267,Male,outside US,College graduate or more,30,65,16,0.92,1200,39,5
3268,Male,outside US,Some college/university,51,99,84,4,1000,39,4
3269,Female,outside US,College graduate or more,22,26,15,2.3,2200,32,5
3270,Female,outside US,College graduate or more,3,57,61,3.67,2000,55,3
3271,Male,outside US,less.than.hs,3,12,10,3.6,400,50,4
3272,Female,outside US,College graduate or more,3,77,15,3.5,300,42,4
3273,Female,outside US,High school graduate,40,99,99,4,600,42,4
3281,Male,outside US,College graduate or more,16,37,41,2.2,800,39,3
3283,Female,outside US,High school graduate,40,0,0,2.71,2000,57,5
3286,Female,outside US,less.than.hs,8,51,79,2.5,2700,56,5
3291,Female,outside US,less.than.hs,48,16,94,2.6,820,16,4
3308,Male,outside US,High school graduate,35,46,41,2.6,1200,53,1
5256,Female,outside US,College graduate or more,4,80,18,2.5,2500,30,4
5258,Male,outside US,High school graduate,36,89,76,1.2,2200,33,4
10,Female,United States,Some college/university,35,83,73,3.75,1100,42,5
11,Female,United States,College graduate or more,8,71,86,2.83,850,53,4
17,Female,United States,College graduate or more,8,85,34,3,1600,62,5
23,Male,United States,Some college/university,30,25,22,1.5,2750,67,5
26,Male,United States,College graduate or more,13,67,44,1.63,2500,67,4
79,Female,United States,less.than.hs,40,68,84,3,600,31,3
117,Female,United States,less.than.hs,31,64,18,2.33,1100,78,4
121,Female,United States,Some college/university,13,9,22,1.92,1200,50,3
128,Female,United States,High school graduate,30,21,18,2.43,900,39,1
140,Female,United States,College graduate or more,48,89,62,4,2400,78,5
143,Male,United States,less.than.hs,49,41,20,3.9,1200,50,4
149,Female,United States,Some college/university,5,91,35,3.33,1400,30,4
150,Female,United States,College graduate or more,3,99,60,4,1000,42,4
151,Female,United States,less.than.hs,48,62,55,2.67,2500,55,4
154,Female,United States,Some college/university,13,51,73,2.25,1700,53,4
157,Female,United States,Some college/university,14,89,54,3.17,1200,53,5
162,Female,United States,less.than.hs,2,28,18,2.92,1250,60,4
168,Male,United States,Some college/university,44,59,37,2,520,60,4
171,Female,United States,less.than.hs,22,79,31,2.67,1200,53,4
172,Female,United States,less.than.hs,40,83,60,2.5,800,34,3
175,Female,United States,less.than.hs,3,35,24,2.17,750,42,3
182,Female,United States,College graduate or more,22,9,3,2.5,400,34,3
183,Female,United States,less.than.hs,22,63,79,3,1000,42,4
193,Female,United States,less.than.hs,14,34,31,1.58,2800,39,1
199,Female,United States,less.than.hs,2,61,35,2.5,1400,39,4
225,Female,United States,Some college/university,21,32,18,3.08,836,38,3
226,Female,United States,High school graduate,3,40,29,3.5,2700,53,3
233,Female,United States,Some college/university,13,94,49,4,2000,42,3
235,Male,United States,less.than.hs,8,13,8,3,200,41,4
239,Female,United States,Some college/university,44,59,58,2.21,1300,55,4
263,Male,United States,less.than.hs,44,78,13,3.6,2040,20,1
271,Female,United States,less.than.hs,44,38,25,2.08,1800,34,5
293,Male,United States,less.than.hs,18,40,25,0.25,900,34,4
294,Female,United States,less.than.hs,13,46,31,3.17,950,42,5
303,Male,United States,less.than.hs,3,71,64,3.17,2000,39,5
305,Male,United States,High school graduate,27,31,11,0.92,2400,51,4
324,Female,United States,less.than.hs,5,64,35,3,1200,49,5
329,Female,United States,Some college/university,8,67,9,3.25,2100,49,4
336,Female,United States,Some college/university,30,21,4,1.5,860,49,4
344,Female,United States,College graduate or more,35,82,49,3.17,1833,56,4
346,Female,United States,High school graduate,22,61,84,3.5,1760,53,4
391,Female,United States,less.than.hs,2,11,2,2.38,1800,39,4
411,Male,United States,Some college/university,3,57,35,1.17,1200,53,4
419,Female,United States,less.than.hs,40,51,40,1.5,1200,64,3
427,Male,United States,College graduate or more,18,26,41,2,2000,34,1
429,Female,United States,High school graduate,48,57,76,2.17,1700,42,1
431,Male,United States,College graduate or more,35,47,21,2.36,2000,22,4
435,Female,United States,Some college/university,13,87,50,2.83,500,39,2
438,Female,United States,College graduate or more,30,51,22,2.75,1600,67,4
439,Male,United States,High school graduate,22,21,47,2.08,1400,22,4
444,Female,United States,less.than.hs,14,45,61,2.86,950,50,5
447,Female,United States,less.than.hs,13,39,35,2.67,2100,57,5
455,Female,United States,College graduate or more,35,45,65,3.43,1200,39,1
458,Female,United States,High school graduate,2,40,40,3.08,1000,22,2
459,Female,United States,College graduate or more,22,42,68,3,2000,56,5
461,Female,United States,High school graduate,35,49,70,3,2000,53,5
470,Female,United States,High school graduate,35,87,56,3.58,2000,72,3
510,Male,United States,Some college/university,40,94,63,3.21,200,62,1
512,Male,United States,less.than.hs,35,77,25,3.58,2800,51,4
513,Male,United States,High school graduate,13,40,25,2.67,1000,37,4
517,Female,United States,College graduate or more,48,91,59,3.67,2000,53,4
546,Female,United States,less.than.hs,5,77,54,3.92,2500,69,3
548,Male,United States,less.than.hs,13,31,22,1.67,500,53,4
550,Female,United States,College graduate or more,8,99,71,3.5,1100,42,4
556,Female,United States,High school graduate,40,15,40,2.67,500,35,4
557,Female,United States,less.than.hs,13,22,6,2.08,1000,69,5
588,Female,United States,High school graduate,18,86,76,1.5,700,50,5
594,Male,United States,High school graduate,3,49,37,2.83,2043,55,5
605,Male,United States,College graduate or more,35,80,29,2.5,2500,53,3
613,Female,United States,less.than.hs,3,10,2,2.7,600,22,2
636,Female,United States,Some college/university,44,54,70,2.33,2500,49,5
652,Male,United States,Some college/university,35,44,56,2.67,2500,50,5
659,Female,United States,High school graduate,13,51,46,1.75,2300,42,5
663,Male,United States,College graduate or more,3,41,32,2.17,2000,53,4
